Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta para sol uv,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camisa fator de proteção uv 50,Phrase match,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra azul com preto,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra rosa com preto,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra preto com verde,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra surf bicolor,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra manga longa branca,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra manga longa azul,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra manga longa verde,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra manga longa preta,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra surf com dedal,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra com abertura para o polegar,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra surf secagem rápida,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra surf para stand up paddle,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta lycra surf para natação,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camisetas surferas,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,camiseta lycra feminina secagem rápida,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,camiseta lycra feminina para beach tennis,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,camiseta lycra segunda pele feminina,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,camiseta lycra feminina modelagem anatômica,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,camiseta lycra feminina para corrida,,,,,,,,,
