Keyword,Ad group,Origem,Match sugerido
sapatilhas para praia,sapatilha-aquatica-compra,head (1000/mes),Phrase
sapatilha de praia,sapatilha-aquatica-compra,head (590/mes),Phrase
sapatilha praia,sapatilha-aquatica-compra,head (390/mes),Phrase
sapato aquatico,sapatilha-aquatica-compra,head (720/mes),Phrase
sapato de praia,sapatilha-aquatica-compra,head (480/mes),Phrase
tenis aquatico,sapatilha-aquatica-compra,head (720/mes),Phrase
tenis para agua,sapatilha-aquatica-compra,head (260/mes),Phrase
sapatilha antiderrapante,sapatilha-aquatica-compra,head (720/mes),Phrase
sapatilha aquatica antiderrapante,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha antiderrapante para praia,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para agua,sapatilha-aquatica-compra,head (390/mes),Phrase
sapatilha para piscina,sapatilha-aquatica-compra,head (390/mes),Phrase
sapatilha de mergulho,sapatilha-aquatica-compra,head (260/mes),Phrase
sapatilha esportiva,sapatilha-aquatica-compra,head (390/mes),Phrase
sapatilha aquatica adulto,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para surf,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha de surf,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha surf,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para o mar,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para mar,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para pedra,sapatilha-aquatica-compra,consultada (0/mes),Exact
sapatilha para pedras,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para costao,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para esportes aquaticos,sapatilha-aquatica-compra,expansao (n/c),Exact
calcado para esportes aquaticos,sapatilha-aquatica-compra,expansao (n/c),Exact
calcado aquatico,sapatilha-aquatica-compra,expansao (n/c),Exact
calcado para praia,sapatilha-aquatica-compra,expansao (n/c),Exact
calcado para agua,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para stand up paddle,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para kitesurf,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para natacao,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha natacao,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para hidroginastica,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para cachoeira,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para rio,sapatilha-aquatica-compra,expansao (n/c),Exact
bota aquatica,sapatilha-aquatica-compra,expansao (n/c),Exact
botinha aquatica,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para beach tennis,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha beach tennis,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para futevolei,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para areia,sapatilha-aquatica-compra,expansao (n/c),Exact
sapatilha para areia quente,sapatilha-aquatica-compra,expansao (n/c),Exact
camiseta neoprene,neoprene-camiseta-compra,head (260/mes),Phrase
camiseta de neoprene,neoprene-camiseta-compra,head (70/mes),Phrase
camisa de neoprene,neoprene-camiseta-compra,head (90/mes),Phrase
camiseta neoprene surf,neoprene-camiseta-compra,head (90/mes),Exact
camisa neoprene surf,neoprene-camiseta-compra,expansao (n/c),Exact
blusa de neoprene,neoprene-camiseta-compra,head (90/mes),Phrase
blusa neoprene surf,neoprene-camiseta-compra,expansao (n/c),Exact
blusa de neoprene feminina,neoprene-camiseta-compra,head (40/mes),Exact
jaqueta de neoprene,neoprene-camiseta-compra,head (110/mes),Phrase
jaqueta neoprene surf,neoprene-camiseta-compra,expansao (n/c),Exact
jaqueta para surf,neoprene-camiseta-compra,expansao (n/c),Exact
camisa neoprene manga curta,neoprene-camiseta-compra,head (20/mes),Exact
camisa neoprene manga longa,neoprene-camiseta-compra,head (20/mes),Exact
camiseta neoprene manga curta,neoprene-camiseta-compra,expansao (n/c),Exact
camiseta neoprene masculina,neoprene-camiseta-compra,expansao (n/c),Exact
camiseta neoprene feminina,neoprene-camiseta-compra,consultada (0/mes),Exact
camiseta neoprene 1.5mm,neoprene-camiseta-compra,expansao (n/c),Exact
camiseta com neoprene e uv,neoprene-camiseta-compra,expansao (n/c),Exact
camiseta termica surf,neoprene-camiseta-compra,head (10/mes),Exact
camiseta termica para surf,neoprene-camiseta-compra,expansao (n/c),Exact
camisa termica para surf,neoprene-camiseta-compra,expansao (n/c),Exact
camisa termica para agua,neoprene-camiseta-compra,head (20/mes),Exact
camiseta termica para agua fria,neoprene-camiseta-compra,expansao (n/c),Exact
camiseta para agua fria,neoprene-camiseta-compra,expansao (n/c),Exact
blusa para agua fria,neoprene-camiseta-compra,expansao (n/c),Exact
roupa para agua fria,neoprene-camiseta-compra,expansao (n/c),Exact
segunda pele neoprene,neoprene-camiseta-compra,expansao (n/c),Exact
segunda pele para surf,neoprene-camiseta-compra,consultada (0/mes),Exact
segunda pele para agua,neoprene-camiseta-compra,expansao (n/c),Exact
top neoprene,neoprene-camiseta-compra,expansao (n/c),Exact
top de neoprene,neoprene-camiseta-compra,head (20/mes),Exact
bermuda neoprene,neoprene-bermuda-compra,head (210/mes),Phrase
bermuda de neoprene,neoprene-bermuda-compra,head (90/mes),Phrase
bermuda de neoprene masculina,neoprene-bermuda-compra,head (20/mes),Exact
bermuda neoprene masculino,neoprene-bermuda-compra,expansao (n/c),Exact
bermuda neoprene surf,neoprene-bermuda-compra,head (20/mes),Exact
bermuda surf neoprene,neoprene-bermuda-compra,expansao (n/c),Exact
bermuda de neoprene para surf,neoprene-bermuda-compra,expansao (n/c),Exact
short de neoprene,neoprene-bermuda-compra,head (20/mes),Exact
shorts de neoprene,neoprene-bermuda-compra,consultada (0/mes),Exact
shorts neoprene,neoprene-bermuda-compra,expansao (n/c),Exact
bermuda termica para agua,neoprene-bermuda-compra,expansao (n/c),Exact
bermuda termica surf,neoprene-bermuda-compra,expansao (n/c),Exact
bermuda para remada,neoprene-bermuda-compra,expansao (n/c),Exact
bermuda para aguas abertas,neoprene-bermuda-compra,expansao (n/c),Exact
roupa de neoprene,neoprene-categoria-compra,head (880/mes),Phrase
roupa neoprene,neoprene-categoria-compra,head (1000/mes),Phrase
roupas de neoprene,neoprene-categoria-compra,head (170/mes),Phrase
roupas em neoprene,neoprene-categoria-compra,head (720/mes),Phrase
roupa de neoprene masculina,neoprene-categoria-compra,expansao (n/c),Exact
roupa de neoprene feminina,neoprene-categoria-compra,expansao (n/c),Exact
roupa de neoprene para natação,neoprene-categoria-compra,head (260/mes),Exact
roupa de neoprene para surf,neoprene-categoria-compra,head (50/mes),Exact
comprar roupa de neoprene,neoprene-categoria-compra,head (20/mes),Exact
onde comprar roupa de neoprene,neoprene-categoria-compra,expansao (n/c),Exact
loja de roupa de neoprene,neoprene-categoria-compra,expansao (n/c),Exact
roupa de neoprene preço,neoprene-categoria-compra,head (20/mes),Exact
neoprene 3mm,neoprene-categoria-compra,head (110/mes),Exact
neoprene 2mm,neoprene-categoria-compra,head (40/mes),Exact
roupa termica para agua,neoprene-categoria-compra,expansao (n/c),Exact
roupa termica para mar,neoprene-categoria-compra,expansao (n/c),Exact
roupa termica surf,neoprene-categoria-compra,expansao (n/c),Exact
conjunto de neoprene,neoprene-categoria-compra,expansao (n/c),Exact
conjunto neoprene,neoprene-categoria-compra,expansao (n/c),Exact
kit neoprene,neoprene-categoria-compra,expansao (n/c),Exact
neoprene para surf,neoprene-categoria-compra,expansao (n/c),Exact
neoprene surf,neoprene-categoria-compra,expansao (n/c),Exact
neoprene para natacao,neoprene-categoria-compra,expansao (n/c),Exact
roupa para esportes aquaticos,neoprene-categoria-compra,expansao (n/c),Exact
use zero hora,neoprene-marca,marca (n/c),Phrase
usezerohora,neoprene-marca,marca (n/c),Phrase
use zero hora neoprene,neoprene-marca,marca (n/c),Exact
sapatilha use zero hora,neoprene-marca,marca (n/c),Exact
camiseta neoprene use zero hora,neoprene-marca,marca (n/c),Exact
bermuda use zero hora,neoprene-marca,marca (n/c),Exact
zero hora surf,neoprene-marca,marca (n/c),Exact
